p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
21,22,20,21,9,28,22,19,15,19
25,21,32,21,20,13,21,21,22,25
3,4,10,15,14,16,9,13,13,13
21,21,9,19,25,26,21,21,21,20
14,13,3,13,13,14,4,9,16,15
20,19,19,16,9,14,10,20,19,19
14,19,19,13,21,16,16,20,14,15
2,19,15,16,10,10,13,19,10,13
13,13,10,15,13,14,13,10,13,13
8,7,8,13,7,9,7,8,7,8
14,13,9,19,20,-1,13,19,15,19
22,21,21,15,20,25,21,21,20,10
19,15,19,15,13,19,16,13,16,9
21,10,21,21,19,31,16,19,21,21
21,20,19,19,20,21,21,19,25,19
15,20,19,16,19,14,14,19,20,4
19,19,16,16,15,20,21,7,19,19
13,16,21,4,15,19,15,7,14,15
10,13,13,19,19,22,14,19,15,19
19,10,20,20,21,19,21,9,20,20
21,19,25,20,9,19,16,28,21,19
13,21,25,19,16,25,20,16,16,25
22,21,21,-1,25,20,21,19,19,19
13,15,13,9,14,13,4,14,13,14
16,20,16,20,19,19,20,20,20,13
10,9,7,9,10,13,13,8,9,4
19,19,19,15,19,20,9,10,14,19
19,19,13,20,21,15,14,19,19,16
9,9,10,13,14,14,13,16,16,14
8,10,7,9,9,15,1,9,14,9
7,8,9,7,10,8,7,13,9,10
32,8,31,21,31,21,31,31,31,31
16,19,16,19,20,20,19,10,3,19
19,21,15,20,19,19,13,-1,15,20
21,21,9,20,20,21,20,16,9,9
19,13,15,20,19,10,20,13,-1,19
4,9,9,20,2,3,4,13,13,10
8,9,14,9,4,15,13,3,9,7
21,16,15,20,13,19,16,10,19,15
14,14,14,14,9,15,13,8,16,15
19,16,21,19,15,19,13,19,13,19
9,-1,15,13,13,14,16,13,9,7
20,19,19,19,14,20,19,21,20,10
19,19,20,14,20,21,19,19,20,20
15,16,20,13,10,20,15,19,7,19
22,21,16,21,26,20,20,20,25,21
8,10,13,7,13,9,13,14,14,9
13,20,20,3,16,19,20,15,20,19
21,14,16,19,21,21,19,21,21,2
14,14,13,8,9,13,8,13,13,13
20,19,15,15,14,19,14,19,20,16
27,21,19,31,26,28,32,32,27,33
19,15,14,19,15,19,15,15,9,19
10,13,10,13,10,8,13,13,14,13
7,9,13,7,9,9,9,13,10,9
7,4,3,2,7,2,14,10,4,10
21,21,26,21,20,22,28,25,25,15
20,20,20,16,19,20,20,15,16,19
15,14,15,19,10,19,19,14,10,14
9,13,8,10,13,9,9,3,10,13
13,4,15,10,15,13,15,10,13,14
19,16,21,15,19,13,15,20,13,19
14,13,4,10,8,2,13,13,14,14
15,13,16,13,13,13,15,13,4,13
14,15,13,8,13,13,13,13,14,10
9,13,8,8,8,9,8,10,13,1
20,19,16,13,-1,20,10,19,19,20
26,31,26,25,31,16,27,16,26,13
13,13,16,13,10,-1,8,14,4,14
27,27,31,21,26,21,21,28,27,25
25,19,19,22,25,28,22,25,25,26
16,25,22,25,21,19,19,26,25,26
16,7,19,14,15,13,13,15,7,15
16,21,16,25,25,26,22,20,21,25
22,19,15,10,20,20,21,20,15,22
33,33,46,52,15,33,28,33,33,25
19,16,15,15,14,16,15,19,20,15
13,13,14,13,3,10,13,13,3,13
13,13,4,13,15,15,16,15,15,4
16,19,19,19,19,19,3,19,19,19
7,4,9,7,8,9,9,1,7,8
20,20,22,19,7,21,20,20,19,20
13,13,14,16,13,13,8,8,14,13
19,15,20,20,19,20,19,21,21,15
9,9,13,9,8,9,4,14,8,10
19,13,15,15,19,13,13,15,19,14
26,25,27,25,21,27,16,21,22,25
19,15,20,15,25,20,20,20,19,19
14,4,13,13,4,10,9,13,10,10
19,15,19,8,19,20,19,10,10,19
15,13,14,15,16,14,15,14,15,8
14,19,16,13,14,19,19,20,15,16
20,21,21,25,21,20,25,20,19,22
7,16,15,14,13,15,7,15,9,14
20,25,25,13,20,21,25,25,14,26
14,15,15,14,7,14,14,15,16,15
21,15,20,19,21,22,20,20,21,19
10,13,13,19,13,14,15,7,7,13
9,16,9,16,19,-1,19,16,19,19
4,7,13,14,9,14,15,10,14,16
13,14,13,13,4,16,15,14,8,13
19,15,15,13,14,10,7,10,14,16
19,20,20,10,21,13,19,14,20,15
20,22,22,20,14,21,25,21,19,25
4,8,13,10,4,8,13,13,13,9
21,20,13,19,19,19,21,19,20,20
25,21,22,25,16,22,14,21,20,25
15,7,8,10,10,13,14,14,14,14
16,15,14,15,16,16,10,15,15,19
16,8,14,20,14,3,7,19,15,10
9,14,21,14,8,10,16,9,14,16
16,13,13,13,4,8,13,13,8,4
20,19,20,21,20,10,20,22,22,4
13,20,4,10,25,10,22,25,16,15
19,16,19,20,21,15,21,10,20,15
13,13,13,13,7,14,14,3,13,14
14,9,16,16,13,13,19,16,15,10
14,13,13,10,9,13,7,13,4,9
25,9,13,26,26,26,25,20,26,25
8,8,8,9,7,9,13,8,8,8
20,10,19,14,21,21,-1,21,14,20
21,22,25,27,25,21,25,22,21,27
16,21,21,16,21,21,13,22,25,16
20,15,19,19,21,20,25,15,20,22
19,19,19,20,19,19,21,7,19,20
13,8,10,9,13,10,9,13,14,10
16,20,15,9,19,20,15,10,19,19
25,22,25,25,28,26,25,27,25,25
21,16,26,20,19,8,10,9,19,21
13,19,15,14,19,15,14,19,19,15
13,10,13,13,13,14,9,10,8,4
19,20,16,20,20,10,19,14,19,10
